text,label,metadata
"<< Mitiglinide >> (KAD-1229), a new anti-diabetic drug, is thought to stimulate [[ insulin ]] secretion by closing the ATP-sensitive K+ (K(ATP)) channels in pancreatic beta-cells.",INDIRECT-UPREGULATOR,[]
"Mitiglinide (<< KAD-1229 >>), a new anti-diabetic drug, is thought to stimulate insulin secretion by closing the [[ ATP-sensitive K+ (K(ATP)) channels ]] in pancreatic beta-cells.",INHIBITOR,[]
"<< Mitiglinide >> (KAD-1229), a new anti-diabetic drug, is thought to stimulate insulin secretion by closing the [[ ATP-sensitive K+ (K(ATP)) channels ]] in pancreatic beta-cells.",INHIBITOR,[]
"Patch-clamp analysis using inside-out recording configuration showed that << mitiglinide >> inhibits the [[ Kir6.2 ]]/SUR1 channel currents in a dose-dependent manner (IC50 value, 100 nM) but does not significantly inhibit either Kir6.2/SUR2A or Kir6.2/SUR2B channel currents even at high doses (more than 10 microM).",INHIBITOR,[]
"Patch-clamp analysis using inside-out recording configuration showed that << mitiglinide >> inhibits the Kir6.2/[[ SUR1 ]] channel currents in a dose-dependent manner (IC50 value, 100 nM) but does not significantly inhibit either Kir6.2/SUR2A or Kir6.2/SUR2B channel currents even at high doses (more than 10 microM).",INHIBITOR,[]
"<< Nateglinide >> inhibits [[ Kir6.2 ]]/SUR1 and Kir6.2/SUR2B channels at 100 nM, and inhibits Kir6.2/SUR2A channels at high concentrations (1 microM).",INHIBITOR,[]
"<< Nateglinide >> inhibits Kir6.2/[[ SUR1 ]] and Kir6.2/SUR2B channels at 100 nM, and inhibits Kir6.2/SUR2A channels at high concentrations (1 microM).",INHIBITOR,[]
"<< Nateglinide >> inhibits Kir6.2/SUR1 and [[ Kir6.2 ]]/SUR2B channels at 100 nM, and inhibits Kir6.2/SUR2A channels at high concentrations (1 microM).",INHIBITOR,[]
"<< Nateglinide >> inhibits Kir6.2/SUR1 and Kir6.2/[[ SUR2B ]] channels at 100 nM, and inhibits Kir6.2/SUR2A channels at high concentrations (1 microM).",INHIBITOR,[]
"<< Nateglinide >> inhibits Kir6.2/SUR1 and Kir6.2/SUR2B channels at 100 nM, and inhibits [[ Kir6.2 ]]/SUR2A channels at high concentrations (1 microM).",INHIBITOR,[]
"<< Nateglinide >> inhibits Kir6.2/SUR1 and Kir6.2/SUR2B channels at 100 nM, and inhibits Kir6.2/[[ SUR2A ]] channels at high concentrations (1 microM).",INHIBITOR,[]
"These results indicate that, similar to the sulfonylureas, mitiglinide is highly specific to the Kir6.2/SUR1 complex, i.e., the pancreatic beta-cell << K(ATP) channel >>, and suggest that [[ mitiglinide ]] may be a clinically useful anti-diabetic drug.",AGONIST,[]
"Although generally highly specific for angiotensin II type 1 receptors, some ARBs, particularly << telmisartan >>, are partial agonists at [[ peroxisome proliferator-activated receptor-γ ]].",AGONIST,[]
"Although generally highly specific for << angiotensin II type 1 receptors >>, some ARBs, particularly [[ telmisartan ]], are partial agonists at peroxisome proliferator-activated receptor-γ.",ANTAGONIST,[]
"Direct-acting << CB1 >> agonists, including [[ Δ(9)-tetrahydrocannabinol ]], WIN 55,212 [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], AM2389 [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and AM4054 [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,[]
"Direct-acting << CB1 >> agonists, including Δ(9)-tetrahydrocannabinol, [[ WIN 55,212 ]] [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], AM2389 [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and AM4054 [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,[]
"Direct-acting << CB1 >> agonists, including Δ(9)-tetrahydrocannabinol, WIN 55,212 [[[ R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate ]]], AM2389 [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and AM4054 [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,[]
"Direct-acting << CB1 >> agonists, including Δ(9)-tetrahydrocannabinol, WIN 55,212 [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], [[ AM2389 ]] [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and AM4054 [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,[]
"Direct-acting << CB1 >> agonists, including Δ(9)-tetrahydrocannabinol, WIN 55,212 [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], AM2389 [[[ 9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol ]]], and AM4054 [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,[]
"Direct-acting << CB1 >> agonists, including Δ(9)-tetrahydrocannabinol, WIN 55,212 [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], AM2389 [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and [[ AM4054 ]] [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,[]
"Direct-acting << CB1 >> agonists, including Δ(9)-tetrahydrocannabinol, WIN 55,212 [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], AM2389 [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and AM4054 [[[ 9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol ]]], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,[]
"Methanandamide (10.0 mg/kg) had lesser effect than other CB agonists, and the << CB2 >> agonist [[ AM1241 ]] [1-(methylpiperidin-2-ylmethyl)-3-(2-iodo-5-nitrobenzoyl)indole], the anandamide transport inhibitor AM404, and the CB antagonist rimonabant did not have diuretic effects.",AGONIST,[]
"Methanandamide (10.0 mg/kg) had lesser effect than other CB agonists, and the << CB2 >> agonist AM1241 [[[ 1-(methylpiperidin-2-ylmethyl)-3-(2-iodo-5-nitrobenzoyl)indole ]]], the anandamide transport inhibitor AM404, and the CB antagonist rimonabant did not have diuretic effects.",AGONIST,[]
"Methanandamide (10.0 mg/kg) had lesser effect than other CB agonists, and the << CB2 >> agonist AM1241 [1-(methylpiperidin-2-ylmethyl)-3-(2-iodo-5-nitrobenzoyl)indole], the anandamide transport inhibitor [[ AM404 ]], and the CB antagonist rimonabant did not have diuretic effects.",AGONIST,[]
"In further studies, the diuretic effects of the << CB1 >> agonist [[ AM4054 ]] were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with rimonabant, but not by the vanilloid receptor type I antagonist capsazepine, nor were the effects of WIN 55,212 antagonized by the CB2 antagonist AM630 [(6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)].",AGONIST,[]
"In further studies, the diuretic effects of the CB1 agonist AM4054 were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with rimonabant, but not by the vanilloid receptor type I antagonist capsazepine, nor were the effects of << WIN 55,212 >> antagonized by the [[ CB2 ]] antagonist AM630 [(6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)].",AGONIST,[]
"In further studies, the diuretic effects of the << CB1 >> agonist AM4054 were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with [[ rimonabant ]], but not by the vanilloid receptor type I antagonist capsazepine, nor were the effects of WIN 55,212 antagonized by the CB2 antagonist AM630 [(6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)].",ANTAGONIST,[]
"In further studies, the diuretic effects of the CB1 agonist AM4054 were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with rimonabant, but not by the << vanilloid receptor type I >> antagonist [[ capsazepine ]], nor were the effects of WIN 55,212 antagonized by the CB2 antagonist AM630 [(6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)].",ANTAGONIST,[]
"In further studies, the diuretic effects of the CB1 agonist AM4054 were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with rimonabant, but not by the vanilloid receptor type I antagonist capsazepine, nor were the effects of WIN 55,212 antagonized by the << CB2 >> antagonist [[ AM630 ]] [(6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)].",ANTAGONIST,[]
"In further studies, the diuretic effects of the CB1 agonist AM4054 were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with rimonabant, but not by the vanilloid receptor type I antagonist capsazepine, nor were the effects of WIN 55,212 antagonized by the << CB2 >> antagonist AM630 [[[ (6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone) ]]].",ANTAGONIST,[]
"<< N-[2-(cyclohexyloxyl)-4-nitrophenyl]-methanesulfonamide >> (NS-398), a selective [[ cyclooxygenase-2 ]] inhibitor, also inhibited cell proliferation, whereas it did not cause apoptosis.",INHIBITOR,[]
"N-[2-(cyclohexyloxyl)-4-nitrophenyl]-methanesulfonamide (<< NS-398 >>), a selective [[ cyclooxygenase-2 ]] inhibitor, also inhibited cell proliferation, whereas it did not cause apoptosis.",INHIBITOR,[]
"Mutation of arginine 228 to << lysine >> enhances the [[ glucosyltransferase ]] activity of bovine beta-1,4-galactosyltransferase I.",UPREGULATOR,[]
"Beta-1,4-galactosyltransferase I (beta4Gal-T1) normally transfers Gal from UDP-Gal to GlcNAc in the presence of Mn(2+) ion (Gal-T activity) and also transfers Glc from << UDP-Glc >> to GlcNAc ([[ Glc-T ]] activity), albeit at only 0.3% efficiency.",SUBSTRATE,[]
"<< Beta-1,4-galactosyltransferase I >> (beta4Gal-T1) normally transfers Gal from [[ UDP-Gal ]] to GlcNAc in the presence of Mn(2+) ion (Gal-T activity) and also transfers Glc from UDP-Glc to GlcNAc (Glc-T activity), albeit at only 0.3% efficiency.",SUBSTRATE,[]
"Beta-1,4-galactosyltransferase I (beta4Gal-T1) normally transfers Gal from << UDP-Gal >> to GlcNAc in the presence of Mn(2+) ion ([[ Gal-T ]] activity) and also transfers Glc from UDP-Glc to GlcNAc (Glc-T activity), albeit at only 0.3% efficiency.",SUBSTRATE,[]
"Beta-1,4-galactosyltransferase I (<< beta4Gal-T1 >>) normally transfers Gal from [[ UDP-Gal ]] to GlcNAc in the presence of Mn(2+) ion (Gal-T activity) and also transfers Glc from UDP-Glc to GlcNAc (Glc-T activity), albeit at only 0.3% efficiency.",SUBSTRATE,[]
Discovery of novel << 2-hydroxydiarylamide >> derivatives as [[ TMPRSS4 ]] inhibitors.,INHIBITOR,[]
"In this study, a novel series of << 2-hydroxydiarylamide >> derivatives were synthesized and evaluated for inhibiting [[ TMPRSS4 ]] serine protease activity and suppressing cancer cell invasion.",INHIBITOR,[]
"In this study, a novel series of << 2-hydroxydiarylamide >> derivatives were synthesized and evaluated for inhibiting TMPRSS4 [[ serine protease ]] activity and suppressing cancer cell invasion.",INHIBITOR,[]
"The selective << betaAR >> agonist [[ isoproterenol ]] caused an enhancement of hippocampal CA3 network activity, as measured by an increase in frequency of spontaneous burst discharges recorded in the CA3 region.",AGONIST,[]
"The selective << beta1AR >> antagonists atenolol and metoprolol blocked [[ isoproterenol ]]-induced enhancement, with apparent K(b) values of 85 +/- 36 and 3.9 +/- 1.7 nM, respectively.",AGONIST,[]
"The selective << beta1AR >> antagonists [[ atenolol ]] and metoprolol blocked isoproterenol-induced enhancement, with apparent K(b) values of 85 +/- 36 and 3.9 +/- 1.7 nM, respectively.",ANTAGONIST,[]
"The selective << beta1AR >> antagonists atenolol and [[ metoprolol ]] blocked isoproterenol-induced enhancement, with apparent K(b) values of 85 +/- 36 and 3.9 +/- 1.7 nM, respectively.",ANTAGONIST,[]
"In contrast, the selective << beta2AR >> antagonists ICI-118,551 and butoxamine inhibited [[ isoproterenol ]]-mediated enhancement with apparent low affinities (K(b) of 222 +/- 61 and 9268 +/- 512 nM, respectively).",AGONIST,[]
"In contrast, the selective << beta2AR >> antagonists ICI-118,551 and [[ butoxamine ]] inhibited isoproterenol-mediated enhancement with apparent low affinities (K(b) of 222 +/- 61 and 9268 +/- 512 nM, respectively).",ANTAGONIST,[]
"In contrast, the selective << beta2AR >> antagonists [[ ICI-118,551 ]] and butoxamine inhibited isoproterenol-mediated enhancement with apparent low affinities (K(b) of 222 +/- 61 and 9268 +/- 512 nM, respectively).",ANTAGONIST,[]
"Together, this pharmacological profile of subtype-selective betaAR antagonists indicates that in this model, << beta1AR >> activation is responsible for the enhanced hippocampal CA3 network activity initiated by [[ isoproterenol ]].",AGONIST,[]
<< P2Y(2) receptor >> agonist [[ INS37217 ]] enhances functional recovery after detachment caused by subretinal injection in normal and rds mice.,AGONIST,[]
Selective antagonism of << GluR5 >> kainate-receptor-mediated synaptic currents by [[ topiramate ]] in rat basolateral amygdala neurons.,ANTAGONIST,[]
Selective antagonism of GluR5 << kainate-receptor >>-mediated synaptic currents by [[ topiramate ]] in rat basolateral amygdala neurons.,ANTAGONIST,[]
"In whole-cell voltage-clamp recordings from principal neurons of the rat basolateral amygdala, << topiramate >> at low concentrations (IC50, approximately 0.5 microm) selectively inhibited pharmacologically isolated excitatory synaptic currents mediated by [[ kainate receptors ]] containing the GluR5 subunit.",INDIRECT-DOWNREGULATOR,[]
"In whole-cell voltage-clamp recordings from principal neurons of the rat basolateral amygdala, << topiramate >> at low concentrations (IC50, approximately 0.5 microm) selectively inhibited pharmacologically isolated excitatory synaptic currents mediated by kainate receptors containing the [[ GluR5 ]] subunit.",INDIRECT-DOWNREGULATOR,[]
"<< Topiramate >> also partially depressed predominantly [[ AMPA-receptor ]]-mediated EPSCs, but with lower efficacy.",INDIRECT-DOWNREGULATOR,[]
Inhibition of << GluR5 >> kainate receptors could represent a key mechanism underlying the anticonvulsant activity of [[ topiramate ]].,INHIBITOR,[]
Inhibition of GluR5 << kainate receptors >> could represent a key mechanism underlying the anticonvulsant activity of [[ topiramate ]].,INHIBITOR,[]
Density functional theory calculations using the hybrid functional B3LYP have been performed to study the << methyl >> transfer step in [[ glycine N-methyltransferase ]] (GNMT).,SUBSTRATE,[]
Density functional theory calculations using the hybrid functional B3LYP have been performed to study the << methyl >> transfer step in glycine N-methyltransferase ([[ GNMT ]]).,SUBSTRATE,[]
The starting point for the calculations is the recent X-ray crystal structure of << GNMT >> complexed with [[ SAM ]] and acetate.,SUBSTRATE,[]
"<< Dasatinib >> (BMS-354825) inhibits [[ KIT ]]D816V, an imatinib-resistant activating mutation that triggers neoplastic growth in most patients with systemic mastocytosis.",INHIBITOR,[]
"<< Dasatinib >> (BMS-354825) inhibits KIT[[ D816V ]], an imatinib-resistant activating mutation that triggers neoplastic growth in most patients with systemic mastocytosis.",INHIBITOR,[]
"Dasatinib (<< BMS-354825 >>) inhibits KIT[[ D816V ]], an imatinib-resistant activating mutation that triggers neoplastic growth in most patients with systemic mastocytosis.",INHIBITOR,[]
<< Dasatinib >> (BMS-354825) is a novel orally bioavailable [[ SRC ]]/ABL inhibitor that has activity against multiple imatinib-resistant BCR-ABL isoforms in vitro that is presently showing considerable promise in early-phase clinical trials of chronic myeloid leukemia (CML).,INHIBITOR,[]
<< Dasatinib >> (BMS-354825) is a novel orally bioavailable SRC/[[ ABL ]] inhibitor that has activity against multiple imatinib-resistant BCR-ABL isoforms in vitro that is presently showing considerable promise in early-phase clinical trials of chronic myeloid leukemia (CML).,INHIBITOR,[]
Dasatinib (<< BMS-354825 >>) is a novel orally bioavailable [[ SRC ]]/ABL inhibitor that has activity against multiple imatinib-resistant BCR-ABL isoforms in vitro that is presently showing considerable promise in early-phase clinical trials of chronic myeloid leukemia (CML).,INHIBITOR,[]
Dasatinib (<< BMS-354825 >>) is a novel orally bioavailable SRC/[[ ABL ]] inhibitor that has activity against multiple imatinib-resistant BCR-ABL isoforms in vitro that is presently showing considerable promise in early-phase clinical trials of chronic myeloid leukemia (CML).,INHIBITOR,[]
"In this study, we demonstrate significant inhibitory activity of << dasatinib >> against both wild-type [[ KIT ]] and the KITD816V mutation in the nanomolar range in in vitro and cell-based kinase assays.",INHIBITOR,[]
"In this study, we demonstrate significant inhibitory activity of << dasatinib >> against both wild-type KIT and the [[ KIT ]]D816V mutation in the nanomolar range in in vitro and cell-based kinase assays.",INHIBITOR,[]
"In this study, we demonstrate significant inhibitory activity of << dasatinib >> against both wild-type KIT and the KIT[[ D816V ]] mutation in the nanomolar range in in vitro and cell-based kinase assays.",INHIBITOR,[]
"Additionally, << dasatinib >> leads to growth inhibition of a [[ KIT ]]D816V-harboring human masto-cytosis cell line.",INHIBITOR,[]
"Additionally, << dasatinib >> leads to growth inhibition of a KIT[[ D816V ]]-harboring human masto-cytosis cell line.",INHIBITOR,[]
Dopamine D(2) receptor-induced << COX-2 >>-mediated production of [[ prostaglandin E(2) ]] in D(2)-transfected Chinese hamster ovary cells without simultaneous administration of a Ca(2+)-mobilizing agent.,SUBSTRATE,[]
